OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank
6851,3426,0.000000,1
6852,3426,62.857376,2
6853,3427,548.352393,1
6854,3427,555.910512,2
6855,3428,0.000000,1
6856,3428,370.385065,2
6857,3429,595.011136,1
6858,3429,626.515217,2
6859,3430,9.883160,1
6860,3430,142.597386,2
6861,3431,639.958017,1
6862,3431,700.386263,2
6863,3432,67.041876,1
6864,3432,486.828794,2
6865,3433,376.531033,1
6866,3433,596.454291,2
6867,3434,2217.720037,1
6868,3434,4313.744095,2
6869,3435,517.735407,1
6870,3435,624.923698,2
6871,3436,611.198791,1
6872,3436,668.906495,2
6873,3437,402.146024,1
6874,3437,569.991950,2
6875,3438,592.181907,1
6876,3438,620.607125,2
6877,3439,77.512502,1
6878,3439,314.997354,2
6879,3440,485.262311,1
6880,3440,540.411655,2
6881,3441,710.201234,1
6882,3441,769.841305,2
6883,3442,0.000000,1
6884,3442,535.968817,2
6885,3443,24.634565,1
6886,3443,55.080675,2
6887,3444,26.899183,1
6888,3444,30.413925,2
6889,3445,506.843208,1
6890,3445,610.512609,2
6891,3446,577.707206,1
6892,3446,592.319800,2
6893,3447,389.921657,1
6894,3447,431.137559,2
6895,3448,529.065988,1
6896,3448,566.001708,2
6897,3449,2659.364702,1
6898,3449,4859.134432,2
6899,3450,168.081252,1
6900,3450,257.518963,2
6901,3451,648.996360,1
6902,3451,715.461010,2
6903,3452,545.645345,1
6904,3452,589.066668,2
6905,3453,557.760501,1
6906,3453,558.706259,2
6907,3454,0.000000,1
6908,3454,272.984279,2
6909,3455,452.611204,1
6910,3455,495.754097,2
6911,3456,239.569104,1
6912,3456,348.772225,2
6913,3457,0.000000,1
6914,3457,62.857376,2
6915,3458,534.071362,1
6916,3458,601.260282,2
6917,3459,685.903452,1
6918,3459,745.488496,2
6919,3460,0.000000,1
6920,3460,159.442244,2
6921,3461,450.094750,1
6922,3461,477.367164,2
6923,3462,601.508170,1
6924,3462,672.981065,2
6925,3463,2409.088706,1
6926,3463,4711.559441,2
6927,3464,154.229060,1
6928,3464,187.997060,2
6929,3465,5081.828050,1
6930,3465,7263.547182,2
6931,3466,832.201438,1
6932,3466,1323.304825,2
6933,3467,408.697967,1
6934,3467,439.979276,2
6935,3468,210.607381,1
6936,3468,407.749566,2
6937,3469,433.643785,1
6938,3469,447.941902,2
6939,3470,525.181270,1
6940,3470,610.902577,2
6941,3471,519.168417,1
6942,3471,589.531216,2
6943,3472,1709.318750,1
6944,3472,1709.318750,1
6945,3473,253.353747,1
6946,3473,260.601093,2
6947,3474,1450.071115,1
6948,3474,1450.071115,1
6949,3475,2281.916880,1
6950,3475,4697.210930,2
6951,3476,341.071950,1
6952,3476,394.374016,2
6953,3477,5056.739127,1
6954,3477,7272.479593,2
6955,3478,0.000000,1
6956,3478,272.984279,2
6957,3479,2451.386475,1
6958,3479,4819.249787,2
6959,3480,991.334892,1
6960,3480,1344.363440,2
6961,3481,1457.361834,1
6962,3481,1457.361834,1
6963,3482,1038.427694,1
6964,3482,1368.277284,2
6965,3483,518.797995,1
6966,3483,607.872231,2
6967,3484,263.465431,1
6968,3484,282.163621,2
6969,3485,1483.097754,1
6970,3485,1483.097754,1
6971,3486,1593.576296,1
6972,3486,1593.576296,1
6973,3487,188.412746,1
6974,3487,213.902532,2
6975,3488,469.137679,1
6976,3488,522.442745,2
6977,3489,502.501252,1
6978,3489,567.505852,2
6979,3490,1404.807855,1
6980,3490,1404.807855,1
6981,3491,554.092224,1
6982,3491,626.476489,2
6983,3492,1466.321592,1
6984,3492,1466.321592,1
6985,3493,297.589687,1
6986,3493,329.823073,2
6987,3494,2021.933595,1
6988,3494,2021.933595,1
6989,3495,1134.496420,1
6990,3495,1383.581673,2
6991,3496,1470.741518,1
6992,3496,1470.741518,1
6993,3497,600.320864,1
6994,3497,1141.151097,2
6995,3498,495.085928,1
6996,3498,585.900405,2
6997,3499,1492.604864,1
6998,3499,1492.604864,1
6999,3500,374.226325,1
7000,3500,403.112477,2
7001,3501,1504.220413,1
7002,3501,1504.220413,1
7003,3502,297.716939,1
7004,3502,383.427329,2
7005,3503,571.422463,1
7006,3503,661.410890,2
7007,3504,335.855162,1
7008,3504,421.818631,2
7009,3505,729.335320,1
7010,3505,829.519868,2
7011,3506,1377.633577,1
7012,3506,1377.633577,1
7013,3507,1495.981306,1
7014,3507,1495.981306,1
7015,3508,29.400426,1
7016,3508,87.070555,2
7017,3509,662.181407,1
7018,3509,761.070284,2
7019,3510,396.874139,1
7020,3510,462.648747,2
7021,3511,1331.805880,1
7022,3511,1331.805880,1
7023,3512,1626.064270,1
7024,3512,1626.064270,1
7025,3513,232.798491,1
7026,3513,343.575623,2
7027,3514,438.074545,1
7028,3514,515.840341,2
7029,3515,792.686274,1
7030,3515,897.847184,2
7031,3516,1046.542308,1
7032,3516,1286.888566,2
7033,3517,461.883525,1
7034,3517,1054.935593,2
7035,3518,580.124140,1
7036,3518,1076.331882,2
