OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
13930,6965,2539.5746,2,48.36364046,2
13931,6966,1694.54594,1,0,1
13932,6966,1948.658585,2,34.17683233,2
13933,6967,1997.339219,1,0,1
13934,6967,2933.075988,2,104.5383839,2
13935,6968,3528.263279,1,0,1
13936,6968,3548.774772,2,19.44866803,2
13937,6969,3583.258246,1,0,1
13938,6969,3606.62723,2,21.25927887,2
13939,6970,1652.952598,1,0,1
13940,6970,5733.902061,2,14.35988084,2
13941,6971,1709.532915,1,0,1
13942,6971,1717.851181,2,56.0358194,2
13943,6972,1483.616532,1,0,1
13944,6972,5779.214608,2,17.27624134,2
13945,6973,737.7917649,1,0,1
13946,6973,1633.135182,2,16.43249399,2
13947,6974,1729.570882,1,0,1
13948,6974,2424.609151,2,48.36364046,2
13949,6975,1874.430522,1,0,1
13950,6975,2768.23473,2,103.1893749,2
13951,6976,5542.124166,1,0,1
13952,6976,5761.939133,2,20.41825906,2
13953,6977,1658.089095,1,0,1
13954,6977,1770.959206,2,15.61990717,2
13955,6978,1612.510595,1,0,1
13956,6978,5714.476152,2,9.762858533,2
13957,6979,2006.919077,1,0,1
13958,6979,3001.345427,2,106.1081131,2
13959,6980,1717.239742,1,0,1
13960,6980,5687.062963,2,10.52833502,2
13961,6981,2577.407643,1,0,1
13962,6981,5520.812013,2,241.7742471,2
13963,6982,3462.635604,1,0,1
13964,6982,3483.77838,2,19.44866803,2
13965,6983,1607.372431,1,0,1
13966,6983,1876.347152,2,34.17683233,2
13967,6984,3514.128296,1,0,1
13968,6984,3538.008635,2,21.25927887,2
13969,6985,1611.000369,1,0,1
13970,6985,2176.882313,2,78.56062549,2
13971,6986,1419.4805,1,0,1
13972,6986,5742.922802,2,17.23010555,2
13973,6987,758.8662245,1,0,1
13974,6987,1680.22085,2,16.43249399,2
13975,6988,1585.721528,1,0,1
13976,6988,1924.256222,2,35.43526518,2
13977,6989,1366.771667,1,0,1
13978,6989,1614.901097,2,44.47141135,2
13979,6990,1617.818635,1,0,1
13980,6990,1731.59935,2,15.61990717,2
13981,6991,1692.393726,1,0,1
13982,6991,5660.773963,2,9.956599269,2
13983,6992,681.7194548,1,0,1
13984,6992,1661.623116,2,12.02171391,2
13985,6993,1582.611066,1,0,1
13986,6993,5678.827044,2,9.762858533,2
13987,6994,5622.492292,1,0,1
13988,6994,5839.215756,2,20.41825906,2
13989,6995,1652.03942,1,0,1
13990,6995,5633.319928,2,9.956599269,2
13991,6996,1262.374369,1,0,1
13992,6996,1736.314061,2,180.3878498,2
13993,6997,3389.307345,1,0,1
13994,6997,3410.677025,2,20.77289494,2
13995,6998,709.8043008,1,0,1
13996,6998,1733.66075,2,7.735491635,2
13997,6999,1392.034644,1,0,1
13998,6999,5695.720532,2,14.7280282,2
13999,7000,1546.371614,1,0,1
